Part Number,Product Name,Description,Price 2025,Price 2024,Category,Subcategory,Product Line,Model Info,Parent Assembly,Vendor
1001102,12-24 x 1.25 step bolt (3 per receptacle),,0.15,0.15,Other,POWER ASSIST,119- Rollout TP Pricing,Tractor receptacle Hardware,,Hussey
1000769,12-24 lock nut (3 per receptacle),,0.10,0.10,Other,POWER ASSIST,119- Rollout TP Pricing,Tractor receptacle hardware,,Hussey
2133613,Sr. Power Assist,,15168.00,6741.35,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
1032294,Tractor attachment for power assist (new - 2 per tractor required),,25.35,19.15,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
2106347,Tractor attachment for power assist RH (old-M20-24),,61.45,44.55,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
2106348,Tractor attachment for power assist LH (old-M20-24),,61.45,44.55,Other,POWER ASSIST,119- Rollout TP Pricing,Tractor attachment for power assist LH (old-M20-24),,Hussey
1000683,MS ' x 1 ' (2 per power assist),,,0.45,Other,POWER ASSIST,119- Rollout TP Pricing,Tractor attachment for power assist LH (old-M20-24),,Hussey
1000753,' Hex Nut (2 per power assist),,0.55,0.15,Other,POWER ASSIST,119- Rollout TP Pricing,Tractor attachment for power assist LH (old-M20-24),,Hussey
1000786,' LK Washer (2 per power assist),,0.20,0.15,Other,POWER ASSIST,119- Rollout TP Pricing,Tractor attachment for power assist LH (old-M20-24),,Hussey
1000789,' FL Washer (4 per power assist),,0.15,0.10,Other,POWER ASSIST,119- Rollout TP Pricing,Tractor attachment for power assist LH (old-M20-24),,Hussey
M048068,Power Assist Motor (1/2 HP),,0.15,1317.65,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
B47-5-30,Power Assist Roller,,Call for price,Call for price,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
A47-5-6840B12,Roller Sprockets,,Call for price,Call for price,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
S5405-CCE,4 Prong socket w/housing,,Call for price,Call for price,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
