Product Name,Product Description,Part #,Price2025,Price2024,Price2023,Price2022,Quantity,Spec 1,Spec 2,Spec 3,Color (picklist?)
Sprocket 40B30 - 30 tooth (before 11/1991),,2088802,$72.05,$56.05,$56.05,$56.05,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
"Chain #40 x 26.5""",,1040117,$20.50,$15.50,$10.20,$10.20,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
40 amp Contactor,,1000917,"$1,508.15","$1,173.00","$1,082.10","$1,020.00",,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Master Link - #40 chain,,1019407,$0.55,$0.40,$0.40,$0.40,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Motor Mount RO26,,1037629,$106.50,$73.90,$67.75,$67.75,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Ingot cast iron 13x5x1.5,,2098389,$68.10,$53.00,$50.45,$50.45,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
PRT III Weight Bracket,,1016601,$666.60,$406.15,$400.95,$400.95,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
PRT IV Weight Bracket double,,1027753,$566.50,$414.90,$414.90,$414.90,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Tractor receptacle + hardware (2 per section required),,1039347,$98.60,$76.70,$76.70,$76.70,,119- Rollout TP Pricing,POWER ASSIST,Tractor receptacle + hardware,
        12-24 x 1.25 step bolt (3 per receptacle),,1001102,$0.15,$0.15,$0.15,$0.15,,119- Rollout TP Pricing,POWER ASSIST,Tractor receptacle Hardware,
        12-24 lock nut  (3 per receptacle),,1000769,$0.10,$0.10,$0.10,$0.10,,119- Rollout TP Pricing,POWER ASSIST,Tractor receptacle  hardware,
Sr. Power Assist,,2133613,"$15,168.00","$6,741.35","$6,648.00","$5,203.35",,119- Rollout TP Pricing,POWER ASSIST,,
Tractor attachment for power assist (new - 2 per tractor required),,1032294,$25.35,$19.15,$19.15,$19.15,,119- Rollout TP Pricing,POWER ASSIST,,
Tractor attachment for power assist RH (old-M20-24),,2106347,$61.45,$44.55,$44.55,$44.55,,119- Rollout TP Pricing,POWER ASSIST,,
Tractor attachment for power assist LH (old-M20-24),,2106348,$61.45,$44.55,$44.55,$44.55,,119- Rollout TP Pricing,POWER ASSIST,Tractor attachment for power assist LH (old-M20-24),
